workerid,proliferate.condition,condition,scenario1,scenario1_response_first,scenario1_response_second,scenario2,scenario2_response_first,scenario2_response_second,scenario3,scenario3_response_first,scenario3_response_second,scenario4,scenario4_response_first,scenario4_response_second,error
87,Condition 2,condition2,fertilizer,7,2,sunscreen,9,8,laundry,9,8,paint,7,6,
103,Condition 2,condition2,paint,10,0,laundry,10,10,fertilizer,10,0,sunscreen,10,10,
35,Condition 2,condition2,paint,8,3,sunscreen,9,9,laundry,9,9,fertilizer,4,0,
95,Condition 2,condition2,laundry,10,10,sunscreen,10,10,paint,7,0,fertilizer,5,0,
119,Condition 2,condition2,sunscreen,10,10,fertilizer,8,1,paint,9,2,laundry,10,10,
99,Condition 2,condition2,fertilizer,5,1,laundry,10,10,sunscreen,10,10,paint,6,5,
223,Condition 2,condition2,sunscreen,9,9,paint,9,9,laundry,9,9,fertilizer,8,8,
111,Condition 2,condition2,paint,9,0,fertilizer,9,0,sunscreen,10,10,laundry,10,9,
115,Condition 2,condition2,laundry,8,2,sunscreen,7,6,fertilizer,7,5,paint,7,5,
30,Condition 2,condition2,fertilizer,10,1,sunscreen,10,10,paint,10,2,laundry,10,10,
131,Condition 2,condition2,fertilizer,8,6,laundry,10,10,paint,8,7,sunscreen,8,8,
174,Condition 2,condition2,laundry,10,8,paint,9,3,fertilizer,3,2,sunscreen,9,8,
188,Condition 2,condition2,fertilizer,8,0,laundry,10,10,paint,10,2,sunscreen,10,10,
169,Condition 2,condition2,laundry,9,8,paint,9,4,sunscreen,9,8,fertilizer,4,1,
83,Condition 2,condition2,sunscreen,8,7,paint,6,2,laundry,8,4,fertilizer,9,3,
71,Condition 2,condition2,fertilizer,8,2,sunscreen,10,10,laundry,10,10,paint,8,2,
147,Condition 2,condition2,laundry,10,10,sunscreen,10,10,paint,10,3,fertilizer,7,1,
215,Condition 2,condition2,sunscreen,9,5,laundry,9,5,paint,9,4,fertilizer,6,2,
152,Condition 2,condition2,paint,9,2,laundry,10,9,sunscreen,5,5,fertilizer,5,5,
107,Condition 2,condition2,fertilizer,8,4,laundry,10,10,paint,8,9,sunscreen,10,10,
139,Condition 2,condition2,laundry,10,10,fertilizer,7,1,sunscreen,10,10,paint,10,10,
160,Condition 2,condition2,laundry,10,10,sunscreen,10,10,paint,10,4,fertilizer,5,1,
156,Condition 2,condition2,fertilizer,1,0,laundry,9,10,sunscreen,10,10,paint,1,0,
40,Condition 2,condition2,fertilizer,9,1,laundry,10,10,sunscreen,10,10,paint,10,2,
79,Condition 2,condition2,paint,8,9,laundry,7,9,fertilizer,8,7,sunscreen,6,4,
135,Condition 2,condition2,fertilizer,10,0,sunscreen,10,10,paint,10,0,laundry,10,10,
123,Condition 2,condition2,sunscreen,10,9,fertilizer,7,6,laundry,10,10,paint,7,7,
219,Condition 2,condition2,sunscreen,10,8,laundry,10,8,paint,7,6,fertilizer,4,1,
54,Condition 2,condition2,sunscreen,10,10,laundry,10,10,paint,10,8,fertilizer,10,8,
193,Condition 2,condition2,paint,10,7,fertilizer,6,0,laundry,10,10,sunscreen,10,10,
235,Condition 2,condition2,fertilizer,10,5,paint,10,6,laundry,10,10,sunscreen,10,10,
25,Condition 2,condition2,paint,6,1,laundry,10,8,sunscreen,9,8,fertilizer,1,0,
50,Condition 2,condition2,laundry,9,10,sunscreen,9,9,fertilizer,2,4,paint,2,2,
91,Condition 2,condition2,paint,9,1,laundry,10,10,fertilizer,0,0,sunscreen,10,10,
184,Condition 2,condition2,sunscreen,9,8,laundry,9,9,paint,9,3,fertilizer,9,3,
227,Condition 2,condition2,paint,10,1,laundry,10,10,fertilizer,4,0,sunscreen,10,10,
164,Condition 2,condition2,sunscreen,10,10,paint,10,0,fertilizer,10,10,laundry,10,10,
75,Condition 2,condition2,paint,6,9,fertilizer,2,1,sunscreen,10,8,laundry,9,8,
179,Condition 2,condition2,laundry,10,10,sunscreen,10,10,paint,10,9,fertilizer,10,2,
206,Condition 2,condition2,sunscreen,6,4,fertilizer,4,3,paint,6,2,laundry,7,6,
197,Condition 2,condition2,sunscreen,8,9,laundry,8,8,fertilizer,8,2,paint,7,2,
231,Condition 2,condition2,fertilizer,6,4,laundry,10,4,paint,8,4,sunscreen,7,2,
241,Condition 2,condition2,laundry,10,9,fertilizer,6,0,paint,6,0,sunscreen,10,10,
63,Condition 2,condition2,paint,6,1,fertilizer,8,1,laundry,10,10,sunscreen,10,10,
201,Condition 2,condition2,paint,7,7,fertilizer,7,7,laundry,10,10,sunscreen,10,10,
211,Condition 2,condition2,paint,10,7,laundry,10,10,sunscreen,10,10,fertilizer,4,1,
67,Condition 2,condition2,fertilizer,10,3,laundry,10,9,sunscreen,10,10,paint,10,2,
59,Condition 2,condition2,sunscreen,10,10,paint,3,2,fertilizer,5,1,laundry,9,8,
240,Condition 2,condition2,sunscreen,7,8,fertilizer,6,1,laundry,9,9,paint,8,7,
46,Condition 2,condition2,fertilizer,4,5,paint,8,4,sunscreen,10,10,laundry,10,10,
84,Condition 3,condition3,sunscreen,8,3,fertilizer,10,10,laundry,7,3,paint,10,10,
141,Condition 3,condition3,fertilizer,10,10,laundry,5,3,paint,9,10,sunscreen,1,2,
209,Condition 3,condition3,sunscreen,9,1,paint,10,10,fertilizer,10,10,laundry,10,6,
237,Condition 3,condition3,laundry,10,0,sunscreen,10,0,paint,10,10,fertilizer,10,10,
36,Condition 3,condition3,sunscreen,5,0,paint,10,10,fertilizer,10,10,laundry,6,0,
158,Condition 3,condition3,sunscreen,8,1,fertilizer,10,10,paint,10,10,laundry,8,5,
96,Condition 3,condition3,laundry,10,0,sunscreen,10,0,paint,10,8,fertilizer,10,10,
41,Condition 3,condition3,sunscreen,6,3,laundry,8,4,paint,10,9,fertilizer,9,9,
80,Condition 3,condition3,fertilizer,2,6,sunscreen,7,2,paint,2,8,laundry,9,9,
108,Condition 3,condition3,laundry,7,4,fertilizer,8,10,sunscreen,7,3,paint,7,7,
239,Condition 3,condition3,paint,10,10,fertilizer,9,9,sunscreen,1,1,laundry,6,7,
137,Condition 3,condition3,fertilizer,10,10,sunscreen,8,0,laundry,10,5,paint,10,10,
191,Condition 3,condition3,paint,10,8,fertilizer,10,10,laundry,10,10,sunscreen,10,10,
204,Condition 3,condition3,sunscreen,8,0,fertilizer,10,10,paint,10,10,laundry,10,1,
51,Condition 3,condition3,fertilizer,9,10,sunscreen,6,5,laundry,9,6,paint,10,10,
213,Condition 3,condition3,paint,9,9,fertilizer,9,9,sunscreen,5,2,laundry,7,5,
195,Condition 3,condition3,sunscreen,2,2,fertilizer,9,9,laundry,3,6,paint,9,9,
176,Condition 3,condition3,fertilizer,10,10,laundry,7,5,sunscreen,3,1,paint,10,10,
167,Condition 3,condition3,paint,10,10,sunscreen,6,7,laundry,8,9,fertilizer,8,9,
121,Condition 3,condition3,sunscreen,4,1,laundry,4,0,paint,10,10,fertilizer,10,10,
199,Condition 3,condition3,fertilizer,7,7,sunscreen,7,5,paint,7,7,laundry,4,5,
172,Condition 3,condition3,laundry,10,7,paint,10,9,fertilizer,10,9,sunscreen,8,6,
68,Condition 3,condition3,laundry,7,8,fertilizer,10,9,sunscreen,3,1,paint,8,8,
217,Condition 3,condition3,paint,10,10,laundry,6,4,fertilizer,10,10,sunscreen,6,3,
183,Condition 3,condition3,laundry,8,4,sunscreen,3,1,paint,10,10,fertilizer,10,10,
113,Condition 3,condition3,laundry,10,5,fertilizer,10,10,paint,10,10,sunscreen,10,5,
133,Condition 3,condition3,fertilizer,10,10,sunscreen,4,1,paint,10,10,laundry,4,4,
55,Condition 3,condition3,fertilizer,10,2,paint,9,3,laundry,2,0,sunscreen,0,0,
180,Condition 3,condition3,fertilizer,6,4,sunscreen,4,4,laundry,6,4,paint,6,6,
233,Condition 3,condition3,paint,9,10,fertilizer,9,10,sunscreen,7,2,laundry,9,6,
225,Condition 3,condition3,paint,10,3,sunscreen,7,1,laundry,7,3,fertilizer,9,8,
117,Condition 3,condition3,sunscreen,9,1,fertilizer,10,10,laundry,10,6,paint,10,10,
100,Condition 3,condition3,laundry,9,4,sunscreen,6,3,paint,10,9,fertilizer,10,9,
221,Condition 3,condition3,laundry,10,0,fertilizer,8,2,sunscreen,9,6,paint,8,3,
186,Condition 3,condition3,paint,10,10,laundry,10,2,sunscreen,10,1,fertilizer,10,10,
76,Condition 3,condition3,laundry,9,9,paint,9,9,sunscreen,9,9,fertilizer,9,9,
20,Condition 3,condition3,sunscreen,7,3,laundry,9,6,fertilizer,9,10,paint,9,10,
47,Condition 3,condition3,paint,10,8,laundry,6,0,fertilizer,10,9,sunscreen,6,0,
242,Condition 3,condition3,fertilizer,9,5,paint,8,6,laundry,8,2,sunscreen,7,3,
43,Condition 3,condition3,paint,10,8,laundry,6,5,sunscreen,8,5,fertilizer,9,8,
60,Condition 3,condition3,laundry,10,6,fertilizer,10,10,paint,10,10,sunscreen,5,0,
64,Condition 3,condition3,sunscreen,7,0,paint,10,6,laundry,10,7,fertilizer,10,10,
72,Condition 3,condition3,sunscreen,10,6,paint,10,8,laundry,10,10,fertilizer,10,10,
104,Condition 3,condition3,fertilizer,9,9,laundry,9,8,sunscreen,6,6,paint,10,10,
229,Condition 3,condition3,laundry,10,10,fertilizer,10,10,paint,10,10,sunscreen,9,8,
